oportunidades,hits,h_hat,delta_rel,z,p_val,stability_score,signos_consistentes,delta_rel_sub,p_val_sub,oportunidades_sub,delta_rel_2015-01-01_2018-12-31,p_val_2015-01-01_2018-12-31,oportunidades_2015-01-01_2018-12-31,recencia_bin,numero,recencia_min,recencia_max,clasificacion_hazard_numero,delta_rel_2011-10-19_2014-12-31,p_val_2011-10-19_2014-12-31,oportunidades_2011-10-19_2014-12-31
266,12,0.045112781954887216,0.5037593984962406,1.4449031580130092,0.07424254458397651,0.0,True,{},{},{},,,,46-60,56,46,60,ninguno,,,
327,6,0.01834862385321101,-0.3883792048929663,-1.2351070618656148,0.8916046692340713,0.0,True,{},{},{},,,,46-60,57,46,60,ninguno,,,
321,4,0.012461059190031152,-0.5846313603322949,-1.8420838039833454,0.9672685537634149,0.0,True,{},{},{},,,,46-60,58,46,60,ninguno,,,
223,5,0.02242152466367713,-0.2526158445440957,-0.6634188063804797,0.7464688177356353,0.0,True,{},{},{},,,,46-60,59,46,60,ninguno,,,
219,7,0.0319634703196347,0.06544901065449009,0.17033343462141742,0.43237395921003574,0.0,True,{},{},{},,,,46-60,60,46,60,ninguno,,,
223,8,0.03587443946188341,0.19581464872944696,0.5142477138215557,0.30353940623446035,0.0,True,{},{},{},,,,46-60,61,46,60,ninguno,,,
237,7,0.029535864978902954,-0.015471167369901506,-0.041886301806927075,0.5167053318052482,0.0,True,{},{},{},,,,46-60,62,46,60,ninguno,,,
238,7,0.029411764705882353,-0.01960784313725488,-0.05319772531389721,0.5212128160062557,0.0,True,{},{},{},,,,46-60,63,46,60,ninguno,,,
191,3,0.015706806282722512,-0.47643979057591623,-1.157975761489936,0.8765630360054588,0.0,True,{},{},{},,,,46-60,64,46,60,ninguno,,,
242,8,0.03305785123966942,0.10192837465564746,0.27885442613380096,0.3901782721778343,0.0,True,{},{},{},,,,46-60,65,46,60,ninguno,,,
206,12,0.05825242718446602,0.9417475728155341,2.377074975025652,0.008725270372192428,0.0,True,{},{},{},,,,46-60,66,46,60,ninguno,,,
277,7,0.02527075812274368,-0.15764139590854395,-0.4614077837748662,0.6777469659550572,0.0,True,{},{},{},,,,46-60,67,46,60,ninguno,,,
182,4,0.02197802197802198,-0.26739926739926734,-0.6344109455534894,0.7370936658954972,0.0,True,{},{},{},,,,46-60,68,46,60,ninguno,,,
228,6,0.02631578947368421,-0.12280701754385967,-0.3261109398495057,0.6278297898529459,0.0,True,{},{},{},,,,46-60,69,46,60,ninguno,,,
239,11,0.04602510460251046,0.5341701534170155,1.452289939949146,0.07321050176093238,0.0,True,{},{},{},,,,46-60,70,46,60,ninguno,,,
219,5,0.0228310502283105,-0.23896499238964994,-0.6219150985014532,0.7330011517361553,0.0,True,{},{},{},,,,46-60,71,46,60,ninguno,,,
328,8,0.024390243902439025,-0.18699186991869912,-0.5955721849403697,0.7242694685139088,0.0,True,{},{},{},,,,46-60,72,46,60,ninguno,,,
277,10,0.036101083032490974,0.20336943441636585,0.5952512630378041,0.27583776423578266,0.0,True,{},{},{},,,,46-60,73,46,60,ninguno,,,
225,8,0.035555555555555556,0.18518518518518523,0.48850865146712436,0.31259479962403913,0.0,True,{},{},{},,,,46-60,74,46,60,ninguno,,,
269,5,0.01858736059479554,-0.3804213135068153,-1.097275648095324,0.8637395436014381,0.0,True,{},{},{},,,,46-60,75,46,60,ninguno,,,
283,10,0.0353356890459364,0.1778563015312133,0.5261835116674137,0.2993803544902381,0.0,True,{},{},{},,,,46-60,76,46,60,ninguno,,,
268,3,0.011194029850746268,-0.6268656716417911,-1.804748314712713,0.9644429621958294,0.0,True,{},{},{},,,,46-60,77,46,60,ninguno,,,
268,8,0.029850746268656716,-0.004975124378109435,-0.014323399323116466,0.5057140142074247,0.0,True,{},{},{},,,,46-60,78,46,60,ninguno,,,
